PROJECT_ID,PARTNER,PROJ_NAME,PROJ_DESC,START_PLANNED,START_ACTUAL,END_PLANNED,END_ACTUAL,DISTRICTS,IMPLEMENTER,DISTRICT,SECTOR,LAT,LONG
"1","USAID","Livelihoods and Enterprise for Agricultural Development (LEAD)","Livelihoods and Enterprises for Agricultural Development (LEAD) is a USAID-funded project with an estimated budget of $36 million over five years.  LEADs primary objective is to increase productivity, trade capacity, and competitiveness in selected agricultural value chains.  The program aims to improve farming practices, increase market access, and ensure empowered relationships between producers, input suppliers, agro-processors, and product buyers.  Overall, LEADs approach is characterized by 1) a market-driven strategy; 2) strategic partnerships/ alliances; 3) a participatory technology transfer methodology; and 4) outreach via commercially-oriented producer organizations.  Following the approval of the USAID Uganda Feed the Future strategy in March 2011, LEAD activities were redirected in order to be consistent with the strategy.  Major aspects of the redirection include a reduction in the number of value chains.  The major focus is now on maize, beans and coffee.  The number of focus districts was also reduced.","7/25/08","7/25/08","7/31/13","","Luwero","Associates in Rural Development (ARD)","518","Basic Education","0.8331","32.4994"
"1","USAID","Livelihoods and Enterprise for Agricultural Development (LEAD)","Livelihoods and Enterprises for Agricultural Development (LEAD) is a USAID-funded project with an estimated budget of $36 million over five years.  LEADs primary objective is to increase productivity, trade capacity, and competitiveness in selected agricultural value chains.  The program aims to improve farming practices, increase market access, and ensure empowered relationships between producers, input suppliers, agro-processors, and product buyers.  Overall, LEADs approach is characterized by 1) a market-driven strategy; 2) strategic partnerships/ alliances; 3) a participatory technology transfer methodology; and 4) outreach via commercially-oriented producer organizations.  Following the approval of the USAID Uganda Feed the Future strategy in March 2011, LEAD activities were redirected in order to be consistent with the strategy.  Major aspects of the redirection include a reduction in the number of value chains.  The major focus is now on maize, beans and coffee.  The number of focus districts was also reduced.","7/25/08","7/25/08","7/31/13","","Mbale","Associates in Rural Development (ARD)","518","Basic Education","1.0806","34.175"
"1","USAID","Livelihoods and Enterprise for Agricultural Development (LEAD)","Livelihoods and Enterprises for Agricultural Development (LEAD) is a USAID-funded project with an estimated budget of $36 million over five years.  LEADs primary objective is to increase productivity, trade capacity, and competitiveness in selected agricultural value chains.  The program aims to improve farming practices, increase market access, and ensure empowered relationships between producers, input suppliers, agro-processors, and product buyers.  Overall, LEADs approach is characterized by 1) a market-driven strategy; 2) strategic partnerships/ alliances; 3) a participatory technology transfer methodology; and 4) outreach via commercially-oriented producer organizations.  Following the approval of the USAID Uganda Feed the Future strategy in March 2011, LEAD activities were redirected in order to be consistent with the strategy.  Major aspects of the redirection include a reduction in the number of value chains.  The major focus is now on maize, beans and coffee.  The number of focus districts was also reduced.","7/25/08","7/25/08","7/31/13","","Sironko","Associates in Rural Development (ARD)","518","Basic Education","1.2333","34.25"
"2","USAID","Sustainable, Comprehensive Responses for Vulnerable Children and their Families (SCORE)","The Sustainable, Comprehensive Responses for Vulnerable Children and their Families (SCORE) project is a $29.4 million, five-year cooperative agreement implemented by the Association of Volunteers in International Service Foundation. The project is to improve the lives of vulnerable children and their families living in conditions of critical and moderate vulnerability. The program focuses on improving household economic and food security, enhancing protection and legal services for vulnerable children, and empowering and strengthening families with the ability to access, acquire or provide critical services for women and children such as health, education and psychosocial support. Strategic and continuous collaboration between this program and other USG and non USG activities is expected.","4/12/11","4/12/11","4/11/16","","Budaka","Association of Volunteers in International Service (AVSI) Foundation","518","Basic Education","1.0167","33.945"
"2","USAID","Sustainable, Comprehensive Responses for Vulnerable Children and their Families (SCORE)","The Sustainable, Comprehensive Responses for Vulnerable Children and their Families (SCORE) project is a $29.4 million, five-year cooperative agreement implemented by the Association of Volunteers in International Service Foundation. The project is to improve the lives of vulnerable children and their families living in conditions of critical and moderate vulnerability. The program focuses on improving household economic and food security, enhancing protection and legal services for vulnerable children, and empowering and strengthening families with the ability to access, acquire or provide critical services for women and children such as health, education and psychosocial support. Strategic and continuous collaboration between this program and other USG and non USG activities is expected.","4/12/11","4/12/11","4/11/16","","Bududa","Association of Volunteers in International Service (AVSI) Foundation","518","Basic Education","1.01","34.3317"
"2","USAID","Sustainable, Comprehensive Responses for Vulnerable Children and their Families (SCORE)","The Sustainable, Comprehensive Responses for Vulnerable Children and their Families (SCORE) project is a $29.4 million, five-year cooperative agreement implemented by the Association of Volunteers in International Service Foundation. The project is to improve the lives of vulnerable children and their families living in conditions of critical and moderate vulnerability. The program focuses on improving household economic and food security, enhancing protection and legal services for vulnerable children, and empowering and strengthening families with the ability to access, acquire or provide critical services for women and children such as health, education and psychosocial support. Strategic and continuous collaboration between this program and other USG and non USG activities is expected.","4/12/11","4/12/11","4/11/16","","Bugiri","Association of Volunteers in International Service (AVSI) Foundation","518","Basic Education","0.5633","33.7519"
"2","USAID","Sustainable, Comprehensive Responses for Vulnerable Children and their Families (SCORE)","The Sustainable, Comprehensive Responses for Vulnerable Children and their Families (SCORE) project is a $29.4 million, five-year cooperative agreement implemented by the Association of Volunteers in International Service Foundation. The project is to improve the lives of vulnerable children and their families living in conditions of critical and moderate vulnerability. The program focuses on improving household economic and food security, enhancing protection and legal services for vulnerable children, and empowering and strengthening families with the ability to access, acquire or provide critical services for women and children such as health, education and psychosocial support. Strategic and continuous collaboration between this program and other USG and non USG activities is expected.","4/12/11","4/12/11","4/11/16","","Bushenyi","Association of Volunteers in International Service (AVSI) Foundation","518","Basic Education","-0.5386","30.185"
"2","USAID","Sustainable, Comprehensive Responses for Vulnerable Children and their Families (SCORE)","The Sustainable, Comprehensive Responses for Vulnerable Children and their Families (SCORE) project is a $29.4 million, five-year cooperative agreement implemented by the Association of Volunteers in International Service Foundation. The project is to improve the lives of vulnerable children and their families living in conditions of critical and moderate vulnerability. The program focuses on improving household economic and food security, enhancing protection and legal services for vulnerable children, and empowering and strengthening families with the ability to access, acquire or provide critical services for women and children such as health, education and psychosocial support. Strategic and continuous collaboration between this program and other USG and non USG activities is expected.","4/12/11","4/12/11","4/11/16","","Busia","Association of Volunteers in International Service (AVSI) Foundation","518","Basic Education","0.4707","34.092"
"2","USAID","Sustainable, Comprehensive Responses for Vulnerable Children and their Families (SCORE)","The Sustainable, Comprehensive Responses for Vulnerable Children and their Families (SCORE) project is a $29.4 million, five-year cooperative agreement implemented by the Association of Volunteers in International Service Foundation. The project is to improve the lives of vulnerable children and their families living in conditions of critical and moderate vulnerability. The program focuses on improving household economic and food security, enhancing protection and legal services for vulnerable children, and empowering and strengthening families with the ability to access, acquire or provide critical services for women and children such as health, education and psychosocial support. Strategic and continuous collaboration between this program and other USG and non USG activities is expected.","4/12/11","4/12/11","4/11/16","","Butaleja","Association of Volunteers in International Service (AVSI) Foundation","518","Basic Education","0.925","33.945"
"2","USAID","Sustainable, Comprehensive Responses for Vulnerable Children and their Families (SCORE)","The Sustainable, Comprehensive Responses for Vulnerable Children and their Families (SCORE) project is a $29.4 million, five-year cooperative agreement implemented by the Association of Volunteers in International Service Foundation. The project is to improve the lives of vulnerable children and their families living in conditions of critical and moderate vulnerability. The program focuses on improving household economic and food security, enhancing protection and legal services for vulnerable children, and empowering and strengthening families with the ability to access, acquire or provide critical services for women and children such as health, education and psychosocial support. Strategic and continuous collaboration between this program and other USG and non USG activities is expected.","4/12/11","4/12/11","4/11/16","","Iganga","Association of Volunteers in International Service (AVSI) Foundation","518","Basic Education","0.615","33.485"
"2","USAID","Sustainable, Comprehensive Responses for Vulnerable Children and their Families (SCORE)","The Sustainable, Comprehensive Responses for Vulnerable Children and their Families (SCORE) project is a $29.4 million, five-year cooperative agreement implemented by the Association of Volunteers in International Service Foundation. The project is to improve the lives of vulnerable children and their families living in conditions of critical and moderate vulnerability. The program focuses on improving household economic and food security, enhancing protection and legal services for vulnerable children, and empowering and strengthening families with the ability to access, acquire or provide critical services for women and children such as health, education and psychosocial support. Strategic and continuous collaboration between this program and other USG and non USG activities is expected.","4/12/11","4/12/11","4/11/16","","Isingiro","Association of Volunteers in International Service (AVSI) Foundation","518","Basic Education","-0.7455","30.758"
"2","USAID","Sustainable, Comprehensive Responses for Vulnerable Children and their Families (SCORE)","The Sustainable, Comprehensive Responses for Vulnerable Children and their Families (SCORE) project is a $29.4 million, five-year cooperative agreement implemented by the Association of Volunteers in International Service Foundation. The project is to improve the lives of vulnerable children and their families living in conditions of critical and moderate vulnerability. The program focuses on improving household economic and food security, enhancing protection and legal services for vulnerable children, and empowering and strengthening families with the ability to access, acquire or provide critical services for women and children such as health, education and psychosocial support. Strategic and continuous collaboration between this program and other USG and non USG activities is expected.","4/12/11","4/12/11","4/11/16","","Kamuli","Association of Volunteers in International Service (AVSI) Foundation","518","Basic Education","0.945","33.125"
"2","USAID","Sustainable, Comprehensive Responses for Vulnerable Children and their Families (SCORE)","The Sustainable, Comprehensive Responses for Vulnerable Children and their Families (SCORE) project is a $29.4 million, five-year cooperative agreement implemented by the Association of Volunteers in International Service Foundation. The project is to improve the lives of vulnerable children and their families living in conditions of critical and moderate vulnerability. The program focuses on improving household economic and food security, enhancing protection and legal services for vulnerable children, and empowering and strengthening families with the ability to access, acquire or provide critical services for women and children such as health, education and psychosocial support. Strategic and continuous collaboration between this program and other USG and non USG activities is expected.","4/12/11","4/12/11","4/11/16","","Luwero","Association of Volunteers in International Service (AVSI) Foundation","518","Basic Education","0.8331","32.4994"
"2","USAID","Sustainable, Comprehensive Responses for Vulnerable Children and their Families (SCORE)","The Sustainable, Comprehensive Responses for Vulnerable Children and their Families (SCORE) project is a $29.4 million, five-year cooperative agreement implemented by the Association of Volunteers in International Service Foundation. The project is to improve the lives of vulnerable children and their families living in conditions of critical and moderate vulnerability. The program focuses on improving household economic and food security, enhancing protection and legal services for vulnerable children, and empowering and strengthening families with the ability to access, acquire or provide critical services for women and children such as health, education and psychosocial support. Strategic and continuous collaboration between this program and other USG and non USG activities is expected.","4/12/11","4/12/11","4/11/16","","Mayuge","Association of Volunteers in International Service (AVSI) Foundation","518","Basic Education","0.2528","33.5505"
"2","USAID","Sustainable, Comprehensive Responses for Vulnerable Children and their Families (SCORE)","The Sustainable, Comprehensive Responses for Vulnerable Children and their Families (SCORE) project is a $29.4 million, five-year cooperative agreement implemented by the Association of Volunteers in International Service Foundation. The project is to improve the lives of vulnerable children and their families living in conditions of critical and moderate vulnerability. The program focuses on improving household economic and food security, enhancing protection and legal services for vulnerable children, and empowering and strengthening families with the ability to access, acquire or provide critical services for women and children such as health, education and psychosocial support. Strategic and continuous collaboration between this program and other USG and non USG activities is expected.","4/12/11","4/12/11","4/11/16","","Ntungamo","Association of Volunteers in International Service (AVSI) Foundation","518","Basic Education","-0.8819","30.2653"
"2","USAID","Sustainable, Comprehensive Responses for Vulnerable Children and their Families (SCORE)","The Sustainable, Comprehensive Responses for Vulnerable Children and their Families (SCORE) project is a $29.4 million, five-year cooperative agreement implemented by the Association of Volunteers in International Service Foundation. The project is to improve the lives of vulnerable children and their families living in conditions of critical and moderate vulnerability. The program focuses on improving household economic and food security, enhancing protection and legal services for vulnerable children, and empowering and strengthening families with the ability to access, acquire or provide critical services for women and children such as health, education and psychosocial support. Strategic and continuous collaboration between this program and other USG and non USG activities is expected.","4/12/11","4/12/11","4/11/16","","Rukungiri","Association of Volunteers in International Service (AVSI) Foundation","518","Basic Education","-0.79","29.925"
"2","USAID","Sustainable, Comprehensive Responses for Vulnerable Children and their Families (SCORE)","The Sustainable, Comprehensive Responses for Vulnerable Children and their Families (SCORE) project is a $29.4 million, five-year cooperative agreement implemented by the Association of Volunteers in International Service Foundation. The project is to improve the lives of vulnerable children and their families living in conditions of critical and moderate vulnerability. The program focuses on improving household economic and food security, enhancing protection and legal services for vulnerable children, and empowering and strengthening families with the ability to access, acquire or provide critical services for women and children such as health, education and psychosocial support. Strategic and continuous collaboration between this program and other USG and non USG activities is expected.","4/12/11","4/12/11","4/11/16","","Sironko","Association of Volunteers in International Service (AVSI) Foundation","518","Basic Education","1.2333","34.25"
"3","USAID","Tourism for Biodiversity","This is a $10 million Cooperative Agreement that will provide local Ugandan communities expand opportunities to develop tourism businesses and services that will enhance communities' appreciation of Uganda's natural resources and reduce threats to biodiversity, thereby protecting critical ecosystems across Uganda's diverse landscapes while promoting broader sustainable economic development.","8/30/12","8/30/12","8/29/16","","Bushenyi","African Wildlife Foundation (AWF)","518","Basic Education","-0.5386","30.185"
"4","USAID","Development Grants Program -Nebbi for water","The Alliance for Youth Development (AYA) is implementing the program in three regions-Central, West, and North. Each area has a project manager. AYA will implement the program through implementing agencies. The local companies will be contracted to install wells, protected springs, and rainwater harvesting projects. The program also expects to improve hygiene practices, reduce incidents of diarrhea and water-borne diseases.","12/15/09","12/15/09","12/14/12","12/14/12","Kyenjojo","Alliance for Youth Developemnt (AYA)","520","Basic Education","0.61","30.6442"
"5","USAID","Uganda Malaria Surveillance Project (UMSP)","The President's Malaria Initiative (PMI) has supported malaria sentinel surveillance in districts with different malaria endemicity since 2006. Currently, there are 6 outpatient and 6 inpatient sites providing high quality, timely data used by the Ministry of Health and PMI to assess program quality, national trends and identify areas where there is need for improvement. In addition, the Uganda Malaria Surveillance Program (UMSP) provides training in malaria diagnostics to public and private health facilities to improve the quality of case management of malaria and provides follow up supervision. In 2010, UMSP conducted two small scale surveys to assess long lasting insecticide net coverage and anemia and parasitemia in districts receiving indoor residual spray compared to those that have not. They also are conducting an evaluation of the efficacy of SP for IPTp.","10/1/10","10/1/10","9/30/14","","Kabale","Centers for Disease Control","518","Basic Education","-1.25","29.99"
"5","USAID","Uganda Malaria Surveillance Project (UMSP)","The President's Malaria Initiative (PMI) has supported malaria sentinel surveillance in districts with different malaria endemicity since 2006. Currently, there are 6 outpatient and 6 inpatient sites providing high quality, timely data used by the Ministry of Health and PMI to assess program quality, national trends and identify areas where there is need for improvement. In addition, the Uganda Malaria Surveillance Program (UMSP) provides training in malaria diagnostics to public and private health facilities to improve the quality of case management of malaria and provides follow up supervision. In 2010, UMSP conducted two small scale surveys to assess long lasting insecticide net coverage and anemia and parasitemia in districts receiving indoor residual spray compared to those that have not. They also are conducting an evaluation of the efficacy of SP for IPTp.","10/1/10","10/1/10","9/30/14","","Kanungu","Centers for Disease Control","518","Basic Education","-0.8195","29.7426"
"6","USAID","Health Initiatives in the Private Sector (HIPS)","Health Initiatives in the Private Sector (HIPS) is a five and a half year, $17.2 million USAID-funded project.  HIPS is designed to propel Ugandas efforts to mitigate infectious disease, expand health service provision, and improve the quality of Ugandas health service system in the private sector.  Specific support is provided to private sector companies to cover employees, their dependents, and surrounding communities.  HIPS provides technical expertise, partnership brokering, and small grants funding to leverage expanded and improved service delivery by private sector organizations.  The project objectives are: 1) expand access to and utilization of health services in the private sector; 2) establish global development alliance partnerships to leverage company-sponsored health services; 3) strengthen private sector employer organizations to support health initiatives; and 4) implement innovative approaches to support orphans and other vulnerable children through the private sector.","10/1/07","10/1/07","3/30/13","","Bugiri","Cardno Emerging Markets","518","Basic Education","0.5633","33.7519"
"6","USAID","Health Initiatives in the Private Sector (HIPS)","Health Initiatives in the Private Sector (HIPS) is a five and a half year, $17.2 million USAID-funded project.  HIPS is designed to propel Ugandas efforts to mitigate infectious disease, expand health service provision, and improve the quality of Ugandas health service system in the private sector.  Specific support is provided to private sector companies to cover employees, their dependents, and surrounding communities.  HIPS provides technical expertise, partnership brokering, and small grants funding to leverage expanded and improved service delivery by private sector organizations.  The project objectives are: 1) expand access to and utilization of health services in the private sector; 2) establish global development alliance partnerships to leverage company-sponsored health services; 3) strengthen private sector employer organizations to support health initiatives; and 4) implement innovative approaches to support orphans and other vulnerable children through the private sector.","10/1/07","10/1/07","3/30/13","","Bushenyi","Cardno Emerging Markets","518","Basic Education","-0.5386","30.185"
"6","USAID","Health Initiatives in the Private Sector (HIPS)","Health Initiatives in the Private Sector (HIPS) is a five and a half year, $17.2 million USAID-funded project.  HIPS is designed to propel Ugandas efforts to mitigate infectious disease, expand health service provision, and improve the quality of Ugandas health service system in the private sector.  Specific support is provided to private sector companies to cover employees, their dependents, and surrounding communities.  HIPS provides technical expertise, partnership brokering, and small grants funding to leverage expanded and improved service delivery by private sector organizations.  The project objectives are: 1) expand access to and utilization of health services in the private sector; 2) establish global development alliance partnerships to leverage company-sponsored health services; 3) strengthen private sector employer organizations to support health initiatives; and 4) implement innovative approaches to support orphans and other vulnerable children through the private sector.","10/1/07","10/1/07","3/30/13","","Kasese","Cardno Emerging Markets","518","Basic Education","0.1833","30.0833"
"6","USAID","Health Initiatives in the Private Sector (HIPS)","Health Initiatives in the Private Sector (HIPS) is a five and a half year, $17.2 million USAID-funded project.  HIPS is designed to propel Ugandas efforts to mitigate infectious disease, expand health service provision, and improve the quality of Ugandas health service system in the private sector.  Specific support is provided to private sector companies to cover employees, their dependents, and surrounding communities.  HIPS provides technical expertise, partnership brokering, and small grants funding to leverage expanded and improved service delivery by private sector organizations.  The project objectives are: 1) expand access to and utilization of health services in the private sector; 2) establish global development alliance partnerships to leverage company-sponsored health services; 3) strengthen private sector employer organizations to support health initiatives; and 4) implement innovative approaches to support orphans and other vulnerable children through the private sector.","10/1/07","10/1/07","3/30/13","","Kyenjojo","Cardno Emerging Markets","518","Basic Education","0.61","30.6442"
"7","USAID","Strengthening Decentralization for Sustainability (SDS)","Strengthening Decentralization for Sustainability (SDS) is a five-year,$40 million project implemented by CardnoEM.  The purpose of the SDS project is to improve the results and sustainability of decentralized service delivery, with initial emphasis on health and HIV/AIDS services, at Local Government levels in Uganda through:  (1) improving coordination among all USAID supported partners at the district level, (2) strengthening the capacity of districts and sub-counties to plan, budget, implement/coordinate, monitor and evaluate decentralized services by efficiently utilizing the Government of Ugandas administrative and fiscal decentralization framework, (3) provision of grants to districts to complement resources needed for effective and efficient management of programs and services, and (4)  facilitating strategic innovations to improve district leadership and sustainable financing of health, HIV/AIDS and other social sector services.","4/19/10","4/19/10","4/17/15","","Budaka","Cardno Emerging Markets","518","Basic Education","1.0167","33.945"
"7","USAID","Strengthening Decentralization for Sustainability (SDS)","Strengthening Decentralization for Sustainability (SDS) is a five-year,$40 million project implemented by CardnoEM.  The purpose of the SDS project is to improve the results and sustainability of decentralized service delivery, with initial emphasis on health and HIV/AIDS services, at Local Government levels in Uganda through:  (1) improving coordination among all USAID supported partners at the district level, (2) strengthening the capacity of districts and sub-counties to plan, budget, implement/coordinate, monitor and evaluate decentralized services by efficiently utilizing the Government of Ugandas administrative and fiscal decentralization framework, (3) provision of grants to districts to complement resources needed for effective and efficient management of programs and services, and (4)  facilitating strategic innovations to improve district leadership and sustainable financing of health, HIV/AIDS and other social sector services.","4/19/10","4/19/10","4/17/15","","Bududa","Cardno Emerging Markets","518","Basic Education","1.01","34.3317"
