District,Pop_2010,Pop_2011,DPT3_perc,DPT3_vacc,Measles_Perc,No_Measles,HF_Delivery_Perc,Not_Del_HF,Pit_LatCov_Perc,No_Pit_Lat,Safe_Water_Cov_Perc,No_Safe_Water,School_Start_at6_Perc,Not_start_at_6,CompletePS_Perc,Not_CompletingPS
Bundibugyo,"236,500"," 248,900 ",0.75,"3,057",0.68,"3,944",0.27,"9,085",0.68,"17,779",0.70,"74,670",0.79,"1,751",0.35,"3,835"
Bushenyi,"241,500"," 246,400 ",0.71,"2,702",0.68,"2,982",0.30,"8,624",0.89,"5,194",0.75,"61,600",0.74,"2,241",0.69,"2,077"
Busia,"281,200"," 289,400 ",0.77,"3,286",0.47,"7,494",0.29,"10,274",0.73,"16,708",0.72,"81,032",1.10,"-1,060",0.75,"1,710"
Butaleja,"206,200"," 213,700 ",1.05,-580,1.06,-650,0.42,"6,197",0.75,"10,782",0.58,"89,754",1.37,"-3,038",0.73,"1,291"
Butambala,96700," 98,200 ",0.86,605,0.78,933,0.41,"2,897",0.59,"8,218",0.81,"18,658",0.98,77,0.85,462
Buvuma,52400," 55,200 ",0.69,911,0.67,959,0.38,"1,711",0.85,"2,501",0.67,"18,216",0.66,466,0.83,107
Buyende,248000," 256,300 ",0.88,"1,742",0.79,"3,066",0.26,"9,483",0.82,"8,988",0.59,"105,083",0.80,"1,940",0.77,"1,311"
Dokolo,"171,000"," 177,130 ",0.89,"1,027",0.85,"1,384",0.24,"6,731",0.56,"15,492",0.91,"15,942",0.39,"4,081",0.71,"1,204"
Gomba,148700," 150,700 ",0.86,985,0.78,"1,520",0.41,"4,446",0.59,"13,534",0.81,"28,633",0.98,113,0.85,614
Gulu,"374,700"," 385,600 ",1.08,"-1,319",1.15,"-2,660",0.50,"9,640",0.37,"47,731",0.89,"42,416",0.65,"4,683",0.70,"2,709"
Hoima,"499,100"," 523,460 ",0.66,"7,996",0.58,"9,880",0.29,"18,583",0.72,"31,555",0.70,"157,038",0.54,"8,469",0.62,"4,723"
Ibanda,"242,800"," 249,200 ",0.80,"2,094",0.72,"3,034",0.31,"8,597",0.89,"5,767",0.57,"107,156",0.88,"1,044",0.66,"2,111"
Iganga,"466,200"," 482,900 ",0.80,"5,184",0.79,"5,297",0.30,"16,902",0.66,"32,783",0.61,"188,331",0.67,"5,973",0.92,936
Isingiro,"396,700"," 408,400 ",0.88,"2,334",0.82,"3,344",0.29,"14,498",0.78,"19,097",0.28,"294,048",0.75,"3,620",0.52,"4,661"
Jinja,"475,700"," 488,430 ",0.78,"4,741",0.65,"7,415",0.46,"13,188",0.84,"17,266",0.65,"170,951",0.69,"5,258",0.83,"2,003"
Kaabong,"355,294","355,294",0.30,"7,053",0.30,"7,102",0.05,"16,841",0.23,"41,293",0.20,"282,781",0.58,"4,216",0.10,"7,263"
Kabale,"490,200"," 494,410 ",0.89,"2,009",0.82,"3,466",0.25,"18,540",0.91,"9,301",0.81,"93,938",0.96,679,0.76,"3,242"
Kabarole,"403,200"," 409,400 ",0.90,"1,652",0.76,"3,853",0.43,"11,668",0.88,"10,626",0.86,"57,316",0.58,"5,943",0.60,"4,352"
Kaberamaido,"183,100"," 190,900 ",0.87,"1,409",0.74,"2,766",0.22,"7,445",0.49,"19,205",0.77,"43,907",1.09,-661,0.63,"1,580"
Kalangala,"58,100"," 62,000 ",2.18,"-2,280",1.05,-102,0.12,"2,728",0.56,"10,310",0.56,"27,280",0.48,702,0.40,480
Kaliro,"202,200"," 209,300 ",0.78,"2,556",0.68,"3,695",0.23,"8,058",0.81,"7,517",0.63,"77,441",0.94,483,0.92,375
Kalungu,173800," 175,600 ",0.78,"1,576",0.80,"1,423",0.27,"6,409",0.95,"1,923",0.81,"33,364",0.87,840,0.73,"1,469"
Kampala,"1,597,800"," 1,659,500 ",1.01,-326,1.09,"-4,438",1.11,"-9,127",0.94,"26,235",0.85,"248,925",0.39,"27,682",0.70,"11,187"
Kamuli,"468,700"," 484,400 ",0.88,"3,034",0.79,"5,339",0.26,"17,923",0.82,"16,978",0.59,"198,604",0.80,"3,780",0.77,"2,760"
Kamwenge,"317,000"," 324,400 ",1.02,-290,0.92,"1,169",0.16,"13,625",0.72,"19,671",0.88,"38,928",0.70,"3,480",0.50,"4,055"
Kanungu,"241,800"," 246,900 ",0.81,"2,059",0.80,"2,164",0.34,"8,148",0.90,"5,185",0.90,"24,690",0.84,"1,400",0.57,"2,688"
Kapchorwa,"104,600"," 109,300 ",1.07,-378,0.60,"2,036",0.23,"4,208",0.58,"9,688",0.60,"43,720",0.99,39,1.09,-225
Kasese,"695,500"," 721,400 ",0.80,"6,011",0.69,"9,355",0.43,"20,560",0.74,"35,463",0.63,"266,918",0.78,"5,639",0.58,"8,077"
Katakwi,"163,000"," 169,820 ",0.78,"1,831",0.67,"2,711",0.24,"6,453",0.49,"18,648",0.84,"27,171",0.80,"1,190",0.53,"1,730"
Kayunga,"344,600"," 351,600 ",0.87,"2,316",0.75,"4,396",0.36,"11,251",0.75,"18,575",0.67,"116,028",0.95,669,0.82,"1,577"
Kibaale,"613,300"," 646,500 ",0.86,"4,371",0.82,"5,838",0.21,"25,537",0.68,"43,298",0.69,"200,415",0.68,"7,760",0.45,"8,646"
Kiboga,"151,500"," 158,400 ",1.61,"-4,051",0.60,"2,684",0.32,"5,386",0.64,"13,244",0.59,"64,944",0.61,"2,278",0.61,"1,572"
Kibuku,"169,200"," 175,300 ",0.53,"4,696",0.42,"5,724",0.30,"6,136",0.68,"10,925",0.57,"75,379",0.97,201,0.71,"1,131"
Kiruhura,"280,200"," 290,400 ",0.76,"2,861",0.72,"3,364",0.11,"12,923",0.83,"9,404",0.31,"200,376",0.86,"1,369",0.54,"3,197"
Kiryandongo,285300," 308,530 ",0.97,517,0.84,"2,436",0.15,"13,113",0.68,"17,672",0.67,"101,815",0.46,"6,253",0.50,"3,630"
Kisoro,"247,300"," 250,800 ",0.80,"2,118",0.69,"3,306",0.45,"6,897",0.74,"14,464",0.39,"152,988",1.04,-368,0.59,"2,878"
Kitgum,"254,800"," 238,300 ",0.66,"3,527",0.67,"3,353",0.39,"7,268",0.38,"27,232",0.87,"30,979",0.67,"2,798",0.58,"2,465"
Koboko,"209,600"," 222,910 ",0.81,"1,851",0.69,"2,994",0.22,"8,693",0.64,"12,578",0.59,"91,393",0.57,"3,358",0.37,"3,459"
Kole,216900," 224,500 ",0.57,"4,792",0.48,"5,825",0.27,"8,194",0.69,"14,695",0.62,"85,310",0.48,"4,399",0.64,"1,969"
Kotido,"236,232","236,232",0.89,750,0.77,"1,564",0.15,"10,064",0.08,"31,341",0.29,"168,714",0.38,"4,188",0.06,"5,076"
Kumi,233800," 244,500 ",0.84,"1,984",0.77,"2,852",0.52,"5,868",0.56,"21,339",0.64,"88,020",1.02,-178,0.67,"1,782"
Kween,94600," 98,700 ",1.07,-393,0.60,"2,116",0.23,"3,800",0.58,"8,558",0.60,"39,480",0.99,36,1.09,-207
Kyankwanzi,"168,100"," 175,200 ",1.61,"-5,288",0.60,"3,504",0.32,"5,957",0.64,"14,057",0.59,"71,832",0.61,"2,391",0.61,"1,587"
Kyegegwa,148500," 154,000 ",0.78,"1,767",0.70,"2,383",0.23,"5,929",0.62,"12,016",0.74,"40,040",0.60,"2,252",0.47,"1,966"
Kyenjojo,356200," 369,700 ",0.78,"3,689",0.70,"5,031",0.23,"14,233",0.62,"30,339",0.74,"96,122",0.60,"5,468",0.47,"5,003"
Lamwo,132300," 164,600 ",0.66,"2,664",0.67,"2,533",0.39,"5,020",0.38,"22,404",0.87,"21,398",0.67,"1,871",0.58,"1,592"
Lira,377800," 390,300 ",0.68,"5,654",0.60,"7,068",0.28,"14,051",0.72,"22,969",0.88,"46,836",0.41,"8,124",0.65,"3,287"
Luuka,243200," 251,800 ",0.80,"2,633",0.79,"2,690",0.30,"8,813",0.66,"16,389",0.61,"98,202",0.67,"3,399",0.92,488
Luwero,"418,000"," 429,000 ",0.74,"5,240",0.69,"6,179",0.21,"16,946",0.78,"21,097",0.75,"107,250",1.18,"-2,866",0.79,"2,339"
Lwengo,262000," 264,900 ",0.78,"2,657",0.80,"2,399",0.27,"9,669",0.95,"2,942",0.81,"50,331",0.87,"1,229",0.73,"2,060"
Lyantonde,"77,100"," 78,700 ",1.05,-162,1.03,-94,0.65,"1,377",0.85,"2,605",0.51,"38,563",0.83,457,0.56,845
Manafwa,"343,200"," 355,400 ",1.33,"-6,325",1.08,"-1,512",0.18,"14,571",0.73,"21,272",0.50,"177,700",0.96,546,0.70,"2,385"
Maracha,"200,700"," 193,200 ",0.54,"4,187",0.50,"4,561",0.28,"6,955",0.57,"15,959",0.67,"63,756",0.92,545,,
Masaka,247000," 249,200 ",0.78,"2,207",0.80,"2,006",0.27,"9,096",0.95,"3,017",0.81,"47,348",0.87,"1,057",0.73,"1,844"
Masindi,316800," 340,390 ",0.97,428,0.84,"2,282",0.15,"14,467",0.68,"23,106",0.67,"112,329",0.46,"6,523",0.50,"3,995"
Mayuge,"429,300"," 445,000 ",0.74,"6,301",0.70,"7,374",0.23,"17,133",0.62,"33,217",0.43,"253,650",0.78,"3,764",0.75,"2,490"
Mbale,"416,600"," 428,800 ",0.96,710,1.08,"-1,417",0.39,"13,078",0.65,"34,674",0.62,"162,944",0.95,728,0.88,"1,234"
Mbarara,"427,200"," 436,400 ",0.63,"6,121",0.60,"6,666",0.36,"13,965",0.92,"7,211",0.70,"130,920",0.78,"3,150",0.76,"2,618"
Mitooma,"188,800"," 192,700 ",0.71,"2,131",0.68,"2,352",0.30,"6,745",0.89,"4,119",0.75,"48,175",0.74,"1,846",0.69,"1,693"
Mityana,"301,800"," 306,600 ",1.01,-174,0.95,641,0.46,"8,278",0.85,"10,705",0.72,"85,848",0.61,"4,290",0.85,"1,266"
Moroto,"136,849","136,849",0.68,"1,209",0.69,"1,173",0.11,"6,073",0.73,"6,987",0.37,"85,903",0.23,"2,932",0.15,"2,684"
Moyo,"354,300"," 382,400 ",0.30,"11,771",0.29,"11,878",0.17,"15,870",0.78,"16,609",0.47,"202,672",0.22,"10,327",0.17,"7,603"
Mpigi,209400," 212,400 ",0.86,"1,229",0.78,"1,932",0.41,"6,266",0.59,"20,014",0.81,"40,356",0.98,154,0.85,878
Mubende,"566,600"," 588,300 ",0.66,"9,281",0.53,"12,911",0.13,"25,591",0.76,"31,525",0.36,"376,512",0.62,"8,166",0.52,"6,974"
Mukono,522100," 536,400 ",0.69,"6,963",0.67,"7,412",0.38,"16,628",0.85,"19,390",0.67,"177,012",0.66,"6,423",0.83,"2,385"
Nakapiripirit,"174,032","174,032",0.55,"2,519",0.52,"2,716",0.06,"8,168",0.02,"29,845",0.27,"126,578",0.22,"4,388",0.07,"3,770"
Nakaseke,"178,600"," 184,800 ",0.69,"2,684",0.62,"3,328",0.49,"4,712",0.83,"7,052",0.85,"27,720",1.12,-806,0.82,803
Nakasongola,"150,000"," 153,200 ",0.76,"1,885",0.64,"2,784",0.31,"5,285",0.73,"8,356",0.74,"39,832",1.22,"-1,254",0.91,324
Namayingo,211200," 221,700 ",1.01,-108,0.97,350,0.16,"9,311",0.79,"9,826",0.36,"141,888",1.02,-164,0.51,"2,254"
Namutumba,"207,300"," 213,000 ",0.96,489,0.77,"2,626",0.30,"7,455",0.51,"20,970",0.58,"89,460",1.07,-573,0.84,763
Napak,"219,917","219,917",0.62,"2,462",0.63,"2,402",0.10,"9,874",0.70,"11,299",0.34,"145,787",0.21,"5,065",0.14,"4,379"
Nebbi,328600," 337,400 ",1.25,"-4,248",0.77,"3,908",0.43,"9,616",0.78,"14,904",0.81,"64,106",0.77,"3,027",0.41,"5,003"
Ngora,144100," 150,600 ",0.84,"1,237",0.77,"1,758",0.52,"3,614",0.56,"12,960",0.64,"54,216",1.02,-112,0.67,"1,155"
Ntoroko,76000," 79,690 ",0.75,"1,125",0.68,"1,451",0.27,"2,909",0.68,"4,725",0.70,"23,907",0.79,536,0.35,"1,177"
Ntungamo,"458,000"," 469,000 ",0.81,"3,745",0.77,"4,359",0.32,"15,946",0.91,"8,104",0.73,"126,630",0.77,"3,744",0.66,"4,141"
Nwoya,51100," 52,500 ",0.85,418,0.86,387,0.26,"1,943",0.35,"8,100",0.77,"12,075",0.53,794,0.66,262
Otuke,80600," 83,300 ",0.68,"1,272",0.60,"1,576",0.28,"2,999",0.72,"5,133",0.88,"9,996",0.41,"1,746",0.65,672
Oyam,"353,700"," 366,180 ",0.81,"3,373",0.70,"5,375",0.32,"12,450",0.69,"23,880",0.64,"131,825",0.60,"5,396",0.54,"3,961"
Pader,210100," 220,800 ",0.83,"1,613",0.79,"1,993",0.32,"7,507",0.29,"32,669",0.75,"55,200",0.63,"2,868",0.43,"3,004"
Pallisa,337700," 350,100 ",0.53,"8,883",0.42,"10,962",0.30,"12,254",0.68,"21,257",0.57,"150,543",0.97,405,0.71,"2,262"
Rakai,"466,900"," 475,600 ",0.79,"4,310",0.70,"6,271",0.29,"16,884",0.84,"16,924",0.49,"242,556",0.81,"3,241",0.65,"4,319"
Rubirizi,"119,500"," 122,410 ",0.71,"1,874",0.68,"2,069",0.30,"4,284",0.89,"3,018",0.75,"30,603",0.74,"1,076",0.69,905
Rukungiri,"311,600"," 316,400 ",0.85,"1,857",0.79,"2,670",0.53,"7,435",0.97,"1,686",0.93,"22,148",0.82,"2,003",0.80,"1,732"
Serere,265100," 279,100 ",0.63,"6,317",0.66,"5,907",0.30,"9,769",0.70,"15,573",0.48,"145,132",0.77,"2,622",0.67,"2,079"
Sheema,"211,400"," 215,900 ",0.71,"2,358",0.68,"2,603",0.30,"7,556",0.89,"4,581",0.75,"53,975",0.74,"1,929",0.69,"1,841"
Sironko,"227,800"," 233,500 ",0.59,"5,144",0.56,"5,497",0.21,"9,223",0.64,"19,464",0.72,"65,380",0.91,819,0.83,918
Soroti,"290,000"," 305,900 ",0.63,"6,170",0.66,"5,770",0.30,"10,707",0.70,"17,957",0.48,"159,068",0.77,"2,806",0.67,"2,343"
Ssembabule,"210,900"," 215,300 ",1.60,"-5,921",1.20,"-1,939",0.15,"9,150",0.60,"18,835",0.69,"66,743",1.39,"-3,023",0.66,"1,819"
Tororo,"463,600"," 475,700 ",0.91,"2,352",0.85,"3,999",0.29,"16,887",0.82,"18,186",0.63,"176,009",0.89,"2,012",0.84,"1,702"
Wakiso,"1,260,900"," 1,315,300 ",0.96,"1,712",0.98,967,0.26,"48,666",0.84,"52,495",0.67,"434,049",0.41,"24,874",0.97,"1,024"
Yumbe,"466,400"," 504,540 ",0.56,"10,485",0.50,"11,913",0.26,"18,668",0.75,"21,348",0.34,"332,996",0.42,"10,811",0.19,"10,425"
Zombo,208600," 214,200 ",1.25,"-2,837",0.77,"2,628",0.43,"6,105",0.78,"10,197",0.81,"40,698",0.77,"1,893",0.41,"3,221"
